2024-10-12 11:26:40,801 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:26:40,900 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:12,566 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-10-12 11:27:12,665 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-10-12 11:27:50,100 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:50,259 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:50,443 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:51,013 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:51,323 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:52,021 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:52,988 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:53,388 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:53,789 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:54,028 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:54,169 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:54,417 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:54,540 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:55,075 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:55,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:55,643 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:55,887 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:56,298 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:56,732 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:57,126 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:57,431 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:57,999 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:58,878 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:59,492 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:27:59,811 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:00,062 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:00,288 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:00,401 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:00,518 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-12 11:28:00,627 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
